Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 11.11      0.05     0.05  9000000     0.00     0.00  isCompatible(Route*, Route*)
  6.67      0.08     0.03  1005480     0.00     0.00  std::_Vector_base<Route*, std::allocator<Route*> >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<Route*, std::allocator<Route*> >::_Vector_impl_data&&)
  6.67      0.11     0.03        1    30.00   249.30  CreatePaths()
  5.56      0.14     0.03  9006000     0.00     0.00  std::vector<Route*, std::allocator<Route*> >::at(unsigned long)
  4.45      0.16     0.02  9006000     0.00     0.00  AllEnv::getRoute(int)
  4.45      0.18     0.02  1848000     0.00     0.00  boost::date_time::int_adapter<long>::as_number() const
  4.45      0.20     0.02  1672852     0.00     0.00  std::_Vector_base<Route*, std::allocator<Route*> >::~_Vector_base()
  4.45      0.22     0.02   379634     0.00     0.00  std::_Rb_tree<Route*, std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > >, std::_Select1st<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > >, std::less<Route*>, std::allocator<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > > >::_M_lower_bound(std::_Rb_tree_node<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > >*, std::_Rb_tree_node_base*, Route* const&)
  3.33      0.23     0.02 10616199     0.00     0.00  std::vector<Route*, std::allocator<Route*> >::size() const
  2.22      0.24     0.01  9006000     0.00     0.00  std::vector<Route*, std::allocator<Route*> >::_M_range_check(unsigned long) const
  2.22      0.25     0.01  6162629     0.00     0.00  std::_Rb_tree_node<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > >::_M_valptr() const
  2.22      0.26     0.01  3009552     0.00     0.00  std::allocator<Route*>::~allocator()
  2.22      0.27     0.01  1656027     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > >, std::_Select1st<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >, std::less<int>, std::allocator<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > > >::end()
  2.22      0.28     0.01  1331735     0.00     0.00  std::_Vector_base<Route*, std::allocator<Route*> >::_Vector_impl_data::_Vector_impl_data()
  2.22      0.29     0.01  1326768     0.00     0.00  std::vector<Route*, std::allocator<Route*> >::end() const
  2.22      0.30     0.01  1326768     0.00     0.00  std::vector<Route*, std::allocator<Route*> >::begin() const
  2.22      0.31     0.01  1326768     0.00     0.00  std::_Vector_base<Route*, std::allocator<Route*> >::_Vector_base(unsigned long, std::allocator<Route*> const&)
  2.22      0.32     0.01  1326768     0.00     0.00  Route** std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > >, Route**>(__gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > >, __gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > >, Route**)
  2.22      0.33     0.01  1326768     0.00     0.00  std::vector<Route*, std::allocator<Route*> >::vector(std::vector<Route*, std::allocator<Route*> > const&)
  2.22      0.34     0.01  1324802     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >::_M_ptr()
  2.22      0.35     0.01   993609     0.00     0.00  std::operator==(std::_Rb_tree_iterator<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > > const&, std::_Rb_tree_iterator<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > > const&)
  2.22      0.36     0.01   540000     0.00     0.00  boost::date_time::counted_time_rep<boost::posix_time::millisec_posix_time_system_config>::time_count() const
  2.22      0.37     0.01   379634     0.00     0.00  std::map<Route*, std::vector<Route*, std::allocator<Route*> >, std::less<Route*>, std::allocator<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > > >::find(Route* const&)
  2.22      0.38     0.01   379634     0.00     0.00  std::_Rb_tree<Route*, std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > >, std::_Select1st<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > >, std::less<Route*>, std::allocator<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > > >::find(Route* const&)
  2.22      0.39     0.01   186000     0.00     0.00  boost::date_time::time_resolution_traits<boost::date_time::time_resolution_traits_adapted64_impl, (boost::date_time::time_resolutions)5, 1000000l, (unsigned short)6, long>::to_tick_count(long, long, long, long)
  2.22      0.40     0.01   180000     0.00     0.00  Route::getArrDT()
  2.22      0.41     0.01        1    10.00   184.84  CreateExtendMap()
  2.22      0.42     0.01                             void std::allocator_traits<std::allocator<TwoRouteCombnation*> >::destroy<TwoRouteCombnation*>(std::allocator<TwoRouteCombnation*>&, TwoRouteCombnation**)
  1.11      0.43     0.01  3261082     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
  1.11      0.43     0.01  1003514     0.00     0.00  void std::allocator_traits<std::allocator<std::vector<Route*, std::allocator<Route*> > > >::destroy<std::vector<Route*, std::allocator<Route*> > >(std::allocator<std::vector<Route*, std::allocator<Route*> > >&, std::vector<Route*, std::allocator<Route*> >*)
  1.11      0.44     0.01   662396     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >::operator*() const
  1.11      0.44     0.01   377668     0.00     0.00  void std::allocator_traits<std::allocator<Route*> >::construct<Route*, Route* const&>(std::allocator<Route*>&, Route**, Route* const&)
  1.11      0.45     0.01   141714     0.00     0.00  std::vector<Route*, std::allocator<Route*> >::_S_use_relocate()
  1.11      0.45     0.01                             std::vector<Route*, std::allocator<Route*> >* std::__uninitialized_move_if_noexcept_a<std::vector<Route*, std::allocator<Route*> >*, std::vector<Route*, std::allocator<Route*> >*, std::allocator<std::vector<Route*, std::allocator<Route*> > > >(std::vector<Route*, std::allocator<Route*> >*, std::vector<Route*, std::allocator<Route*> >*, std::vector<Route*, std::allocator<Route*> >*, std::allocator<std::vector<Route*, std::allocator<Route*> > >&)
  0.00      0.45     0.00  9360016     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00      0.45     0.00  9360000     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.45     0.00  9006000     0.00     0.00  std::vector<Route*, std::allocator<Route*> >::operator[](unsigned long)
  0.00      0.45     0.00  9000000     0.00     0.00  Route::getDest[abi:cxx11]()
  0.00      0.45     0.00  9000000     0.00     0.00  Route::getOrigin[abi:cxx11]()
  0.00      0.45     0.00  6162629     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > >::_M_ptr() const
  0.00      0.45     0.00  6162629     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > >::_M_addr() const
  0.00      0.45     0.00  6162629     0.00     0.00  std::_Select1st<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > >::operator()(std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > const&) const
  0.00      0.45     0.00  6162629     0.00     0.00  std::less<Route*>::operator()(Route*, Route*) const
  0.00      0.45     0.00  6162629     0.00     0.00  std::_Rb_tree<Route*, std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > >, std::_Select1st<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > >, std::less<Route*>, std::allocator<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > > >::_S_key(std::_Rb_tree_node<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > > const*)
  0.00      0.45     0.00  4713459     0.00     0.00  std::_Rb_tree<Route*, std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > >, std::_Select1st<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > >, std::less<Route*>, std::allocator<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.45     0.00  3668948     0.00     0.00  __gnu_cxx::new_allocator<Route*>::new_allocator(__gnu_cxx::new_allocator<Route*> const&)
  0.00      0.45     0.00  3668948     0.00     0.00  std::allocator<Route*>::allocator(std::allocator<Route*> const&)
  0.00      0.45     0.00  3151266     0.00     0.00  std::_Vector_base<Route*, std::allocator<Route*> >::_M_get_Tp_allocator()
  0.00      0.45     0.00  3010557     0.00     0.00  std::vector<Route*, std::allocator<Route*> >* std::__addressof<std::vector<Route*, std::allocator<Route*> > >(std::vector<Route*, std::allocator<Route*> >&)
  0.00      0.45     0.00  3009552     0.00     0.00  __gnu_cxx::new_allocator<Route*>::~new_allocator()
  0.00      0.45     0.00  2929884     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >::_M_ptr() const
  0.00      0.45     0.00  2929884     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >::_M_addr() const
  0.00      0.45     0.00  2929884     0.00     0.00  std::_Select1st<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >::operator()(std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > const&) const
  0.00      0.45     0.00  2929884     0.00     0.00  std::_Rb_tree_node<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >::_M_valptr() const
  0.00      0.45     0.00  2929884     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > >, std::_Select1st<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >, std::less<int>, std::allocator<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > > >::_S_key(std::_Rb_tree_node<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > > const*)
  0.00      0.45     0.00  2653536     0.00     0.00  __gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > >::__normal_iterator(Route* const* const&)
  0.00      0.45     0.00  2653536     0.00     0.00  __gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > >::base() const
  0.00      0.45     0.00  2653536     0.00     0.00  __gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > > std::__miter_base<__gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > > >(__gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > >)
  0.00      0.45     0.00  2653536     0.00     0.00  Route* const* std::__niter_base<Route* const*, std::vector<Route*, std::allocator<Route*> > >(__gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > >)
