Origin,Destination,BusType,DepDateTime,ArrDateTime,Profit,SchType
A1,B1,T1,2020-01-01 08:45:00,2020-01-01 10:56:00,208.50734072775643,M
A1,B2,T1,2020-01-01 06:30:00,2020-01-01 08:45:00,204.58813847877445,M
A1,B3,T1,2020-01-01 09:45:00,2020-01-01 11:51:00,203.3786001004379,M
A1,B4,T1,2020-01-01 06:15:00,2020-01-01 08:19:00,206.0173709291987,M
A1,B5,T1,2020-01-01 05:30:00,2020-01-01 07:34:00,207.07066138921778,M
A1,C1,T1,2020-01-01 06:00:00,2020-01-01 08:30:00,234.0648448691897,M
A1,C2,T1,2020-01-01 05:30:00,2020-01-01 07:55:00,227.87750022621043,M
A1,C3,T1,2020-01-01 08:00:00,2020-01-01 10:16:00,229.49267922950747,M
A1,C4,T1,2020-01-01 09:30:00,2020-01-01 11:48:00,233.07040652811065,M
A1,C5,T1,2020-01-01 08:15:00,2020-01-01 10:36:00,227.301706748055,M
A1,D1,T1,2020-01-01 09:45:00,2020-01-01 12:26:00,252.74377768721573,M
A1,D2,T1,2020-01-01 09:45:00,2020-01-01 12:22:00,256.02956726414106,M
A1,D3,T1,2020-01-01 05:15:00,2020-01-01 07:54:00,258.5475824762816,M
A1,D4,T1,2020-01-01 09:30:00,2020-01-01 12:14:00,254.4466605032952,M
A1,D5,T1,2020-01-01 08:30:00,2020-01-01 11:01:00,252.003547263577,M
A1,E1,T1,2020-01-01 06:30:00,2020-01-01 09:29:00,277.69641620679573,M
A1,E2,T1,2020-01-01 06:30:00,2020-01-01 09:30:00,275.0073494425983,M
A1,E3,T1,2020-01-01 05:30:00,2020-01-01 08:21:00,277.1605937775265,M
A1,E4,T1,2020-01-01 08:15:00,2020-01-01 11:00:00,275.38679203488664,M
A1,E5,T1,2020-01-01 08:45:00,2020-01-01 11:36:00,282.3605962019746,M
A2,B1,T1,2020-01-01 09:15:00,2020-01-01 11:17:00,204.91107985414968,M
A2,B2,T1,2020-01-01 09:15:00,2020-01-01 11:20:00,203.6062434430275,M
A2,B3,T1,2020-01-01 09:30:00,2020-01-01 11:32:00,203.5760845147071,M
A2,B4,T1,2020-01-01 05:00:00,2020-01-01 07:05:00,206.6079151624968,M
A2,B5,T1,2020-01-01 08:45:00,2020-01-01 10:48:00,205.91522522243332,M
A2,C1,T1,2020-01-01 05:45:00,2020-01-01 08:06:00,229.43315183765608,M
A2,C2,T1,2020-01-01 06:30:00,2020-01-01 09:00:00,231.33153729621029,M
A2,C3,T1,2020-01-01 08:00:00,2020-01-01 10:23:00,228.24889967469096,M
A2,C4,T1,2020-01-01 05:30:00,2020-01-01 07:50:00,230.05509578183978,M
A2,C5,T1,2020-01-01 05:45:00,2020-01-01 08:11:00,234.13481088235307,M
A2,D1,T1,2020-01-01 05:00:00,2020-01-01 07:35:00,257.97859673523345,M
A2,D2,T1,2020-01-01 05:00:00,2020-01-01 07:34:00,254.19483985295108,M
A2,D3,T1,2020-01-01 07:30:00,2020-01-01 10:03:00,252.69473852201514,M
A2,D4,T1,2020-01-01 08:15:00,2020-01-01 10:54:00,251.16385924854856,M
A2,D5,T1,2020-01-01 09:00:00,2020-01-01 11:36:00,252.7493695556496,M
A2,E1,T1,2020-01-01 08:30:00,2020-01-01 11:27:00,280.8714204575606,M
A2,E2,T1,2020-01-01 09:15:00,2020-01-01 12:03:00,280.5662984793178,M
A2,E3,T1,2020-01-01 09:00:00,2020-01-01 11:57:00,284.2445894706683,M
A2,E4,T1,2020-01-01 05:15:00,2020-01-01 08:00:00,282.1415281611174,M
A2,E5,T1,2020-01-01 09:30:00,2020-01-01 12:29:00,279.12295425692713,M
A3,B1,T1,2020-01-01 07:30:00,2020-01-01 09:32:00,201.3885283869507,M
A3,B2,T1,2020-01-01 07:15:00,2020-01-01 09:24:00,206.11239317343643,M
A3,B3,T1,2020-01-01 05:00:00,2020-01-01 07:04:00,207.0596054992598,M
A3,B4,T1,2020-01-01 09:15:00,2020-01-01 11:23:00,205.72102803575768,M
A3,B5,T1,2020-01-01 08:15:00,2020-01-01 10:20:00,207.11650356838123,M
A3,C1,T1,2020-01-01 05:45:00,2020-01-01 08:10:00,234.17171805851706,M
A3,C2,T1,2020-01-01 07:15:00,2020-01-01 09:30:00,234.39318832812108,M
A3,C3,T1,2020-01-01 06:00:00,2020-01-01 08:18:00,234.74829148144715,M
A3,C4,T1,2020-01-01 07:45:00,2020-01-01 10:09:00,232.9421901993447,M
A3,C5,T1,2020-01-01 06:30:00,2020-01-01 08:57:00,225.2012524890522,M
A3,D1,T1,2020-01-01 09:45:00,2020-01-01 12:20:00,259.02378229282294,M
A3,D2,T1,2020-01-01 07:45:00,2020-01-01 10:29:00,252.981151650717,M
A3,D3,T1,2020-01-01 06:45:00,2020-01-01 09:25:00,253.93286984122628,M
A3,D4,T1,2020-01-01 08:15:00,2020-01-01 10:53:00,250.40006435269837,M
A3,D5,T1,2020-01-01 07:00:00,2020-01-01 09:39:00,255.2769654169622,M
A3,E1,T1,2020-01-01 06:45:00,2020-01-01 09:36:00,284.22316536731444,M
A3,E2,T1,2020-01-01 09:30:00,2020-01-01 12:26:00,279.00205570466056,M
A3,E3,T1,2020-01-01 06:45:00,2020-01-01 09:42:00,278.1039887055067,M
A3,E4,T1,2020-01-01 06:30:00,2020-01-01 09:22:00,279.9173391598134,M
