Origin,Destination,BusType,DepDateTime,ArrDateTime,Profit
A1,B1,T1,2020-01-01 07:15:00,2020-01-01 09:22:00,207.322880919487
A1,B2,T1,2020-01-01 05:30:00,2020-01-01 07:38:00,209.971100554255
A1,B3,T1,2020-01-01 08:30:00,2020-01-01 10:32:00,201.974255913732
A1,B4,T1,2020-01-01 05:15:00,2020-01-01 07:18:00,205.845743031458
A1,B5,T1,2020-01-01 09:45:00,2020-01-01 11:49:00,201.528971858676
A1,C1,T1,2020-01-01 09:15:00,2020-01-01 11:33:00,233.623644736521
A1,C2,T1,2020-01-01 08:45:00,2020-01-01 11:13:00,234.647983964273
A1,C3,T1,2020-01-01 05:15:00,2020-01-01 07:36:00,231.364127333535
A1,C4,T1,2020-01-01 07:45:00,2020-01-01 10:09:00,232.14535907463
A1,C5,T1,2020-01-01 07:00:00,2020-01-01 09:22:00,226.669946540962
A1,D1,T1,2020-01-01 06:30:00,2020-01-01 09:09:00,255.69906770959
A1,D2,T1,2020-01-01 05:15:00,2020-01-01 07:59:00,259.557735589207
A1,D3,T1,2020-01-01 08:15:00,2020-01-01 10:51:00,257.250982789497
A1,D4,T1,2020-01-01 06:00:00,2020-01-01 08:42:00,254.502931372648
A1,D5,T1,2020-01-01 05:15:00,2020-01-01 07:58:00,250.392777861081
A1,E1,T1,2020-01-01 05:00:00,2020-01-01 07:53:00,282.595987226579
A1,E2,T1,2020-01-01 05:00:00,2020-01-01 08:00:00,276.77845047079
A1,E3,T1,2020-01-01 06:45:00,2020-01-01 09:41:00,280.370739987883
A1,E4,T1,2020-01-01 06:45:00,2020-01-01 09:45:00,284.920511739208
A1,E5,T1,2020-01-01 07:15:00,2020-01-01 10:15:00,282.334980792667
A2,B1,T1,2020-01-01 06:15:00,2020-01-01 08:26:00,208.735377085006
A2,B2,T1,2020-01-01 09:00:00,2020-01-01 11:04:00,201.686755645562
A2,B3,T1,2020-01-01 09:30:00,2020-01-01 11:36:00,209.108368768665
A2,B4,T1,2020-01-01 06:15:00,2020-01-01 08:21:00,204.877178935433
A2,B5,T1,2020-01-01 07:45:00,2020-01-01 09:51:00,209.111773425379
A2,C1,T1,2020-01-01 09:15:00,2020-01-01 11:32:00,231.865470933707
A2,C2,T1,2020-01-01 08:30:00,2020-01-01 10:59:00,225.612316148685
A2,C3,T1,2020-01-01 08:15:00,2020-01-01 10:45:00,231.940277885427
A2,C4,T1,2020-01-01 08:30:00,2020-01-01 10:50:00,225.731975339905
A2,C5,T1,2020-01-01 08:30:00,2020-01-01 10:56:00,227.261690593775
A2,D1,T1,2020-01-01 06:15:00,2020-01-01 08:59:00,252.405880115818
A2,D2,T1,2020-01-01 08:45:00,2020-01-01 11:22:00,254.037116280843
A2,D3,T1,2020-01-01 06:45:00,2020-01-01 09:27:00,256.486175506254
A2,D4,T1,2020-01-01 09:45:00,2020-01-01 12:21:00,250.916396849417
A2,D5,T1,2020-01-01 05:30:00,2020-01-01 08:08:00,258.290067857473
A2,E1,T1,2020-01-01 09:30:00,2020-01-01 12:24:00,279.441975503968
A2,E2,T1,2020-01-01 07:00:00,2020-01-01 09:47:00,282.761438220339
A2,E3,T1,2020-01-01 07:00:00,2020-01-01 09:45:00,280.270384109108
A2,E4,T1,2020-01-01 06:30:00,2020-01-01 09:30:00,276.148435377188
A2,E5,T1,2020-01-01 08:30:00,2020-01-01 11:29:00,280.37560117468
A3,B1,T1,2020-01-01 07:00:00,2020-01-01 09:00:00,205.485117008262
A3,B2,T1,2020-01-01 05:00:00,2020-01-01 07:06:00,200.22966895667
A3,B3,T1,2020-01-01 08:15:00,2020-01-01 10:16:00,201.230199483784
A3,B4,T1,2020-01-01 05:15:00,2020-01-01 07:18:00,201.099690410548
A3,B5,T1,2020-01-01 05:15:00,2020-01-01 07:25:00,203.333956942705
A3,C1,T1,2020-01-01 07:30:00,2020-01-01 09:49:00,232.640097454022
A3,C2,T1,2020-01-01 05:30:00,2020-01-01 07:52:00,230.130869232365
A3,C3,T1,2020-01-01 06:30:00,2020-01-01 08:50:00,227.36858942134
A3,C4,T1,2020-01-01 06:30:00,2020-01-01 08:54:00,228.699127536547
A3,C5,T1,2020-01-01 07:45:00,2020-01-01 10:00:00,233.686786140072
A3,D1,T1,2020-01-01 08:45:00,2020-01-01 11:25:00,255.000969018778
A3,D2,T1,2020-01-01 05:45:00,2020-01-01 08:19:00,256.754839771574
A3,D3,T1,2020-01-01 05:45:00,2020-01-01 08:17:00,254.405621684383
A3,D4,T1,2020-01-01 09:00:00,2020-01-01 11:31:00,254.18459247444
A3,D5,T1,2020-01-01 07:15:00,2020-01-01 09:51:00,258.921489606275
A3,E1,T1,2020-01-01 06:30:00,2020-01-01 09:24:00,284.22868416716
A3,E2,T1,2020-01-01 08:30:00,2020-01-01 11:28:00,279.770112193065
A3,E3,T1,2020-01-01 07:45:00,2020-01-01 10:42:00,283.852700133519
A3,E4,T1,2020-01-01 08:15:00,2020-01-01 11:01:00,277.603633704411
A3,E5,T1,2020-01-01 08:00:00,2020-01-01 10:59:00,279.631343342677
A4,B1,T1,2020-01-01 06:45:00,2020-01-01 08:53:00,205.503683132864
A4,B2,T1,2020-01-01 08:45:00,2020-01-01 11:00:00,209.739493725708
A4,B3,T1,2020-01-01 08:30:00,2020-01-01 10:37:00,205.552615581913
A4,B4,T1,2020-01-01 08:15:00,2020-01-01 10:29:00,208.148625871364
A4,B5,T1,2020-01-01 08:15:00,2020-01-01 10:28:00,203.556514146348
A4,C1,T1,2020-01-01 05:45:00,2020-01-01 08:11:00,225.590051621389
A4,C2,T1,2020-01-01 08:00:00,2020-01-01 10:29:00,234.448385400413
A4,C3,T1,2020-01-01 07:15:00,2020-01-01 09:41:00,229.822047265379
A4,C4,T1,2020-01-01 06:15:00,2020-01-01 08:37:00,225.062371458026
A4,C5,T1,2020-01-01 08:00:00,2020-01-01 10:27:00,226.358174276119
A4,D1,T1,2020-01-01 05:00:00,2020-01-01 07:30:00,253.790058680852
A4,D2,T1,2020-01-01 09:15:00,2020-01-01 11:58:00,256.543446140594
A4,D3,T1,2020-01-01 07:15:00,2020-01-01 09:46:00,256.933267120815
A4,D4,T1,2020-01-01 08:15:00,2020-01-01 10:58:00,254.263068139154
A4,D5,T1,2020-01-01 08:30:00,2020-01-01 11:00:00,259.637073107455
A4,E1,T1,2020-01-01 09:15:00,2020-01-01 12:11:00,284.166498078983
A4,E2,T1,2020-01-01 05:00:00,2020-01-01 07:49:00,275.525543554699
A4,E3,T1,2020-01-01 07:00:00,2020-01-01 09:50:00,282.663088551179
A4,E4,T1,2020-01-01 06:00:00,2020-01-01 08:55:00,279.815539464915
A4,E5,T1,2020-01-01 05:00:00,2020-01-01 07:45:00,275.681212216654
A5,B1,T1,2020-01-01 06:00:00,2020-01-01 08:08:00,202.585073359267
A5,B2,T1,2020-01-01 08:15:00,2020-01-01 10:20:00,208.777938663246
A5,B3,T1,2020-01-01 05:00:00,2020-01-01 07:09:00,201.584129804928
A5,B4,T1,2020-01-01 07:45:00,2020-01-01 09:54:00,205.471093848998
A5,B5,T1,2020-01-01 07:30:00,2020-01-01 09:44:00,200.25538204229
A5,C1,T1,2020-01-01 05:00:00,2020-01-01 07:29:00,232.507658226606
A5,C2,T1,2020-01-01 07:00:00,2020-01-01 09:18:00,233.658269529626
A5,C3,T1,2020-01-01 06:00:00,2020-01-01 08:19:00,229.573747624413
A5,C4,T1,2020-01-01 05:15:00,2020-01-01 07:36:00,229.259210290969
A5,C5,T1,2020-01-01 07:30:00,2020-01-01 09:56:00,232.11382061722
A5,D1,T1,2020-01-01 06:45:00,2020-01-01 09:28:00,255.384233281776
A5,D2,T1,2020-01-01 05:15:00,2020-01-01 07:55:00,253.544078081623
A5,D3,T1,2020-01-01 06:45:00,2020-01-01 09:17:00,258.600661477858
A5,D4,T1,2020-01-01 09:45:00,2020-01-01 12:25:00,255.159160435686
A5,D5,T1,2020-01-01 06:45:00,2020-01-01 09:26:00,251.827975823508
A5,E1,T1,2020-01-01 07:30:00,2020-01-01 10:26:00,275.642573581309
A5,E2,T1,2020-01-01 07:00:00,2020-01-01 09:57:00,277.322290686244
A5,E3,T1,2020-01-01 09:45:00,2020-01-01 12:44:00,283.384347476356
A5,E4,T1,2020-01-01 07:45:00,2020-01-01 10:37:00,281.986861938004
A5,E5,T1,2020-01-01 06:45:00,2020-01-01 09:30:00,280.630864309521
B1,A1,T1,2020-01-01 06:45:00,2020-01-01 08:51:00,216.042121321794
B1,A2,T1,2020-01-01 05:15:00,2020-01-01 07:25:00,216.888698459618
B1,A3,T1,2020-01-01 06:45:00,2020-01-01 08:53:00,215.905105153242
B1,A4,T1,2020-01-01 05:15:00,2020-01-01 07:34:00,216.597048884461
B1,A5,T1,2020-01-01 08:45:00,2020-01-01 11:00:00,210.411621460747
B1,C1,T1,2020-01-01 07:00:00,2020-01-01 10:05:00,308.678451791977
B1,C2,T1,2020-01-01 08:30:00,2020-01-01 11:44:00,304.323273519421
B1,C3,T1,2020-01-01 09:00:00,2020-01-01 12:11:00,303.967136799229
B1,C4,T1,2020-01-01 05:30:00,2020-01-01 08:40:00,302.280956546238
B1,C5,T1,2020-01-01 07:00:00,2020-01-01 10:03:00,309.268231672961
B1,D1,T1,2020-01-01 06:30:00,2020-01-01 10:05:00,357.479123508522
B1,D2,T1,2020-01-01 08:15:00,2020-01-01 11:52:00,351.754095557345
B1,D3,T1,2020-01-01 07:00:00,2020-01-01 10:42:00,353.643978672713
B1,D4,T1,2020-01-01 07:15:00,2020-01-01 10:45:00,350.760479349664
B1,D5,T1,2020-01-01 08:00:00,2020-01-01 11:38:00,350.066663935639
B1,E1,T1,2020-01-01 09:00:00,2020-01-01 12:47:00,378.384077538203
B1,E2,T1,2020-01-01 06:30:00,2020-01-01 10:28:00,379.011341498013
B1,E3,T1,2020-01-01 06:30:00,2020-01-01 10:23:00,377.494736836565
B1,E4,T1,2020-01-01 05:00:00,2020-01-01 08:49:00,375.782965014058
B1,E5,T1,2020-01-01 09:30:00,2020-01-01 13:29:00,383.507971610621
B2,A1,T1,2020-01-01 06:15:00,2020-01-01 08:29:00,213.750236870483
B2,A2,T1,2020-01-01 07:30:00,2020-01-01 09:47:00,211.999339303222
B2,A3,T1,2020-01-01 06:30:00,2020-01-01 08:38:00,219.792913713502
B2,A4,T1,2020-01-01 07:30:00,2020-01-01 09:50:00,216.172346436039
B2,A5,T1,2020-01-01 05:00:00,2020-01-01 07:20:00,216.966241511824
B2,C1,T1,2020-01-01 09:15:00,2020-01-01 12:27:00,301.265226666938
B2,C2,T1,2020-01-01 07:30:00,2020-01-01 10:31:00,305.889789495362
B2,C3,T1,2020-01-01 08:15:00,2020-01-01 11:28:00,302.256202614154
B2,C4,T1,2020-01-01 07:45:00,2020-01-01 10:55:00,307.617426180465
B2,C5,T1,2020-01-01 06:00:00,2020-01-01 09:12:00,304.516041816394
B2,D1,T1,2020-01-01 08:15:00,2020-01-01 11:51:00,353.78477654307
B2,D2,T1,2020-01-01 06:30:00,2020-01-01 10:14:00,359.757893524305
B2,D3,T1,2020-01-01 09:45:00,2020-01-01 13:19:00,353.456858264379
B2,D4,T1,2020-01-01 05:45:00,2020-01-01 09:21:00,357.351221382483
B2,D5,T1,2020-01-01 09:30:00,2020-01-01 13:02:00,352.569180586423
B2,E1,T1,2020-01-01 06:00:00,2020-01-01 09:56:00,382.298766886477
B2,E2,T1,2020-01-01 06:45:00,2020-01-01 10:39:00,380.778277058446
B2,E3,T1,2020-01-01 06:30:00,2020-01-01 10:24:00,378.212014238468
B2,E4,T1,2020-01-01 09:30:00,2020-01-01 13:15:00,383.673316634132
B2,E5,T1,2020-01-01 06:45:00,2020-01-01 10:30:00,376.214791929502
B3,A1,T1,2020-01-01 08:45:00,2020-01-01 11:06:00,213.567662374134
B3,A2,T1,2020-01-01 08:15:00,2020-01-01 10:34:00,215.383313960376
B3,A3,T1,2020-01-01 05:15:00,2020-01-01 07:26:00,212.439163846098
B3,A4,T1,2020-01-01 09:45:00,2020-01-01 11:51:00,215.504554566766
B3,A5,T1,2020-01-01 08:30:00,2020-01-01 10:48:00,217.558865590643
B3,C1,T1,2020-01-01 05:30:00,2020-01-01 08:33:00,302.679735704108
B3,C2,T1,2020-01-01 05:15:00,2020-01-01 08:24:00,302.879140690284
B3,C3,T1,2020-01-01 09:45:00,2020-01-01 12:54:00,309.665961213775
B3,C4,T1,2020-01-01 08:00:00,2020-01-01 11:04:00,306.314639685622
B3,C5,T1,2020-01-01 06:45:00,2020-01-01 09:53:00,306.909946083586
