Origin,Destination,BusType,DepDateTime,ArrDateTime,Profit
A1,B1,T1,2020-01-02 08:15:00,2020-01-02 10:22:00,203.056072896355
A1,B2,T1,2020-01-02 08:30:00,2020-01-02 10:36:00,206.373719826211
A1,B3,T1,2020-01-02 05:00:00,2020-01-02 07:08:00,203.401845212745
A1,B4,T1,2020-01-02 09:30:00,2020-01-02 11:45:00,207.650709195883
A1,B5,T1,2020-01-02 07:15:00,2020-01-02 09:25:00,204.915050429873
A1,C1,T1,2020-01-02 05:30:00,2020-01-02 07:59:00,226.242485502376
A1,C2,T1,2020-01-02 05:00:00,2020-01-02 07:17:00,234.071645757182
A1,C3,T1,2020-01-02 09:15:00,2020-01-02 11:42:00,230.542617859835
A1,C4,T1,2020-01-02 07:45:00,2020-01-02 10:04:00,227.156098007627
A1,C5,T1,2020-01-02 09:00:00,2020-01-02 11:16:00,227.052404291945
A1,D1,T1,2020-01-02 07:45:00,2020-01-02 10:24:00,252.726791426722
A1,D2,T1,2020-01-02 09:45:00,2020-01-02 12:15:00,259.574957994973
A1,D3,T1,2020-01-02 05:00:00,2020-01-02 07:39:00,256.820994222999
A1,D4,T1,2020-01-02 05:00:00,2020-01-02 07:42:00,258.312023500716
A1,D5,T1,2020-01-02 07:30:00,2020-01-02 10:12:00,251.903677047454
A1,E1,T1,2020-01-02 05:30:00,2020-01-02 08:27:00,275.52584008932
A1,E2,T1,2020-01-02 09:45:00,2020-01-02 12:37:00,284.98076671842
A1,E3,T1,2020-01-02 06:30:00,2020-01-02 09:15:00,280.625637724225
A1,E4,T1,2020-01-02 05:30:00,2020-01-02 08:21:00,276.448840676042
A1,E5,T1,2020-01-02 08:30:00,2020-01-02 11:19:00,276.092567644752
A2,B1,T1,2020-01-02 05:30:00,2020-01-02 07:42:00,204.992356593719
A2,B2,T1,2020-01-02 07:45:00,2020-01-02 09:49:00,205.072987834976
A2,B3,T1,2020-01-02 07:15:00,2020-01-02 09:26:00,209.904301187203
A2,B4,T1,2020-01-02 05:00:00,2020-01-02 07:04:00,206.936196219057
A2,B5,T1,2020-01-02 06:15:00,2020-01-02 08:20:00,209.044214623633
A2,C1,T1,2020-01-02 07:45:00,2020-01-02 10:10:00,227.029330552945
A2,C2,T1,2020-01-02 09:00:00,2020-01-02 11:20:00,227.964953588861
A2,C3,T1,2020-01-02 07:15:00,2020-01-02 09:41:00,226.398672194282
A2,C4,T1,2020-01-02 09:00:00,2020-01-02 11:19:00,225.936296319231
A2,C5,T1,2020-01-02 08:15:00,2020-01-02 10:35:00,230.701367462889
A2,D1,T1,2020-01-02 09:45:00,2020-01-02 12:25:00,257.919471438785
A2,D2,T1,2020-01-02 09:15:00,2020-01-02 11:45:00,258.802451141904
A2,D3,T1,2020-01-02 05:45:00,2020-01-02 08:25:00,258.196534005846
A2,D4,T1,2020-01-02 08:00:00,2020-01-02 10:41:00,253.511626807614
A2,D5,T1,2020-01-02 08:00:00,2020-01-02 10:39:00,250.789425186771
A2,E1,T1,2020-01-02 06:00:00,2020-01-02 08:48:00,280.436769944654
A2,E2,T1,2020-01-02 08:30:00,2020-01-02 11:22:00,277.328976137669
A2,E3,T1,2020-01-02 06:00:00,2020-01-02 08:52:00,275.210039490903
A2,E4,T1,2020-01-02 07:45:00,2020-01-02 10:33:00,277.5855406065
A2,E5,T1,2020-01-02 09:00:00,2020-01-02 11:50:00,280.000969290058
A3,B1,T1,2020-01-02 06:00:00,2020-01-02 08:00:00,201.383273325166
A3,B2,T1,2020-01-02 09:30:00,2020-01-02 11:32:00,208.542131993257
A3,B3,T1,2020-01-02 07:45:00,2020-01-02 09:54:00,208.903648388295
A3,B4,T1,2020-01-02 05:30:00,2020-01-02 07:42:00,201.307721628221
A3,B5,T1,2020-01-02 07:00:00,2020-01-02 09:15:00,206.717877203888
A3,C1,T1,2020-01-02 05:45:00,2020-01-02 08:14:00,229.017601497355
A3,C2,T1,2020-01-02 06:45:00,2020-01-02 09:12:00,234.652202801716
A3,C3,T1,2020-01-02 06:45:00,2020-01-02 09:08:00,234.877602361296
A3,C4,T1,2020-01-02 08:30:00,2020-01-02 10:51:00,233.649875621725
A3,C5,T1,2020-01-02 09:15:00,2020-01-02 11:39:00,225.803805575047
A3,D1,T1,2020-01-02 09:45:00,2020-01-02 12:29:00,250.647815625075
A3,D2,T1,2020-01-02 05:15:00,2020-01-02 07:52:00,253.245827588415
A3,D3,T1,2020-01-02 08:00:00,2020-01-02 10:36:00,253.113231648544
A3,D4,T1,2020-01-02 07:30:00,2020-01-02 10:00:00,259.313880440097
A3,D5,T1,2020-01-02 06:00:00,2020-01-02 08:43:00,259.67479304403
A3,E1,T1,2020-01-02 06:15:00,2020-01-02 09:06:00,284.078377250933
A3,E2,T1,2020-01-02 06:45:00,2020-01-02 09:45:00,281.648722931901
A3,E3,T1,2020-01-02 05:00:00,2020-01-02 07:55:00,275.287633283865
A3,E4,T1,2020-01-02 05:45:00,2020-01-02 08:40:00,283.075558859138
A3,E5,T1,2020-01-02 05:45:00,2020-01-02 08:43:00,284.251596455112
A4,B1,T1,2020-01-02 06:15:00,2020-01-02 08:26:00,208.906115073835
A4,B2,T1,2020-01-02 07:00:00,2020-01-02 09:10:00,209.001691397175
A4,B3,T1,2020-01-02 08:00:00,2020-01-02 10:11:00,203.847819008034
A4,B4,T1,2020-01-02 09:30:00,2020-01-02 11:36:00,208.845174821636
A4,B5,T1,2020-01-02 05:45:00,2020-01-02 07:54:00,205.03619721594
A4,C1,T1,2020-01-02 07:30:00,2020-01-02 09:57:00,226.547029911161
A4,C2,T1,2020-01-02 07:45:00,2020-01-02 10:00:00,227.059699857154
A4,C3,T1,2020-01-02 05:45:00,2020-01-02 08:08:00,230.733703060992
A4,C4,T1,2020-01-02 05:30:00,2020-01-02 07:52:00,230.794896183471
A4,C5,T1,2020-01-02 07:00:00,2020-01-02 09:27:00,233.162559600007
A4,D1,T1,2020-01-02 07:00:00,2020-01-02 09:37:00,255.518516865468
A4,D2,T1,2020-01-02 08:00:00,2020-01-02 10:35:00,259.298824463382
A4,D3,T1,2020-01-02 05:30:00,2020-01-02 08:05:00,255.215479990221
A4,D4,T1,2020-01-02 07:00:00,2020-01-02 09:44:00,254.371020106483
A4,D5,T1,2020-01-02 06:15:00,2020-01-02 08:57:00,255.173496749802
A4,E1,T1,2020-01-02 05:15:00,2020-01-02 08:13:00,283.107858856936
A4,E2,T1,2020-01-02 05:45:00,2020-01-02 08:32:00,278.168808235428
A4,E3,T1,2020-01-02 08:45:00,2020-01-02 11:37:00,277.653123873906
A4,E4,T1,2020-01-02 08:45:00,2020-01-02 11:33:00,283.611494858149
A4,E5,T1,2020-01-02 07:30:00,2020-01-02 10:27:00,279.809508539663
A5,B1,T1,2020-01-02 08:30:00,2020-01-02 10:41:00,205.596687994173
A5,B2,T1,2020-01-02 07:00:00,2020-01-02 09:05:00,205.098586539701
A5,B3,T1,2020-01-02 06:45:00,2020-01-02 08:52:00,205.58845845604
A5,B4,T1,2020-01-02 05:00:00,2020-01-02 07:03:00,209.611898262652
A5,B5,T1,2020-01-02 09:00:00,2020-01-02 11:04:00,209.709483426654
A5,C1,T1,2020-01-02 07:00:00,2020-01-02 09:20:00,231.95592781207
A5,C2,T1,2020-01-02 07:00:00,2020-01-02 09:15:00,231.819911263103
A5,C3,T1,2020-01-02 05:15:00,2020-01-02 07:35:00,232.727456390144
A5,C4,T1,2020-01-02 09:30:00,2020-01-02 11:55:00,234.779933985437
A5,C5,T1,2020-01-02 08:00:00,2020-01-02 10:28:00,234.035731722923
A5,D1,T1,2020-01-02 05:00:00,2020-01-02 07:38:00,258.803179659362
A5,D2,T1,2020-01-02 08:15:00,2020-01-02 10:54:00,250.005824977236
A5,D3,T1,2020-01-02 06:15:00,2020-01-02 08:52:00,253.371399061366
A5,D4,T1,2020-01-02 06:45:00,2020-01-02 09:28:00,259.967652691438
A5,D5,T1,2020-01-02 08:45:00,2020-01-02 11:15:00,259.609847927461
A5,E1,T1,2020-01-02 07:00:00,2020-01-02 09:48:00,275.656008716164
A5,E2,T1,2020-01-02 05:45:00,2020-01-02 08:39:00,282.107907975336
A5,E3,T1,2020-01-02 05:15:00,2020-01-02 08:00:00,278.08249477129
A5,E4,T1,2020-01-02 09:45:00,2020-01-02 12:39:00,279.224460223151
A5,E5,T1,2020-01-02 07:00:00,2020-01-02 09:59:00,284.061161132539
B1,A1,T1,2020-01-02 08:45:00,2020-01-02 10:58:00,214.387510401656
B1,A2,T1,2020-01-02 06:30:00,2020-01-02 08:38:00,218.910695684438
B1,A3,T1,2020-01-02 05:15:00,2020-01-02 07:33:00,213.165459940968
B1,A4,T1,2020-01-02 08:45:00,2020-01-02 11:02:00,216.596821206038
B1,A5,T1,2020-01-02 05:30:00,2020-01-02 07:43:00,216.013784743312
B1,C1,T1,2020-01-02 09:00:00,2020-01-02 12:07:00,302.514739502447
B1,C2,T1,2020-01-02 08:00:00,2020-01-02 11:00:00,308.973437593743
B1,C3,T1,2020-01-02 06:15:00,2020-01-02 09:15:00,300.098964854739
B1,C4,T1,2020-01-02 05:15:00,2020-01-02 08:30:00,304.346508193299
B1,C5,T1,2020-01-02 05:00:00,2020-01-02 08:11:00,306.660941895142
B1,D1,T1,2020-01-02 06:15:00,2020-01-02 09:54:00,355.064819604309
B1,D2,T1,2020-01-02 05:30:00,2020-01-02 09:07:00,355.849847537778
B1,D3,T1,2020-01-02 09:45:00,2020-01-02 13:23:00,355.416797977186
B1,D4,T1,2020-01-02 09:30:00,2020-01-02 13:00:00,350.62268645262
B1,D5,T1,2020-01-02 06:45:00,2020-01-02 10:22:00,355.628094096894
